Komi-Permyak,koi,koiwiki,koiwiki/20150901,/koiwiki/20150901/koiwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Korean,ko,kowiki,kowiki/20150901,/kowiki/20150901/kowiki-20150901-pages-articles.xml.bz2, 390.0 MB
Karachay-Balkar,krc,krcwiki,krcwiki/20150901,/krcwiki/20150901/krcwiki-20150901-pages-articles.xml.bz2, 2.7 MB
Kanuri,kr,krwiki,krwiki/20150901,/krwiki/20150901/krwiki-20150901-pages-articles.xml.bz2, 3 KB
Ripuarian,ksh,kshwiki,kshwiki/20150901,/kshwiki/20150901/kshwiki-20150901-pages-articles.xml.bz2, 2.7 MB
Kashmiri,ks,kswiki,kswiki/20150901,/kswiki/20150901/kswiki-20150901-pages-articles.xml.bz2, 215 KB
Kurdish,ku,kuwiki,kuwiki/20150901,/kuwiki/20150901/kuwiki-20150901-pages-articles.xml.bz2, 11.3 MB
Komi,kv,kvwiki,kvwiki/20150901,/kvwiki/20150901/kvwiki-20150901-pages-articles.xml.bz2, 2.3 MB
Cornish,kw,kwwiki,kwwiki/20150901,/kwwiki/20150901/kwwiki-20150901-pages-articles.xml.bz2, 1.2 MB
Kirghiz,ky,kywiki,kywiki/20150901,/kywiki/20150901/kywiki-20150901-pages-articles.xml.bz2, 18.3 MB
Ladino,lad,ladwiki,ladwiki/20150901,/ladwiki/20150901/ladwiki-20150901-pages-articles.xml.bz2, 2.0 MB
Latin,la,lawiki,lawiki/20150901,/lawiki/20150901/lawiki-20150901-pages-articles.xml.bz2, 61.1 MB
Lak,lbe,lbewiki,lbewiki/20150901,/lbewiki/20150901/lbewiki-20150901-pages-articles.xml.bz2, 769 KB
Luxembourgish,lb,lbwiki,lbwiki/20150901,/lbwiki/20150901/lbwiki-20150901-pages-articles.xml.bz2, 32.1 MB
Lezgian,lez,lezwiki,lezwiki/20150901,/lezwiki/20150901/lezwiki-20150901-pages-articles.xml.bz2, 2.7 MB
Luganda,lg,lgwiki,lgwiki/20150901,/lgwiki/20150901/lgwiki-20150901-pages-articles.xml.bz2, 416 KB
Ligurian,lij,lijwiki,lijwiki/20150901,/lijwiki/20150901/lijwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Limburgish,li,liwiki,liwiki/20150901,/liwiki/20150901/liwiki-20150901-pages-articles.xml.bz2, 9.3 MB
Lombard,lmo,lmowiki,lmowiki/20150901,/lmowiki/20150901/lmowiki-20150901-pages-articles.xml.bz2, 15.7 MB
Lingala,ln,lnwiki,lnwiki/20150901,/lnwiki/20150901/lnwiki-20150901-pages-articles.xml.bz2, 976 KB
Lao,lo,lowiki,lowiki/20150901,/lowiki/20150901/lowiki-20150901-pages-articles.xml.bz2, 1.9 MB
Northern Luri,lrc,lrcwiki,lrcwiki/20150901,/lrcwiki/20150901/lrcwiki-20150901-pages-articles.xml.bz2, 2.8 MB
Latgalian,ltg,ltgwiki,ltgwiki/20150901,/ltgwiki/20150901/ltgwiki-20150901-pages-articles.xml.bz2, 626 KB
Lithuanian,lt,ltwiki,ltwiki/20150901,/ltwiki/20150901/ltwiki-20150901-pages-articles.xml.bz2, 132.3 MB
Latvian,lv,lvwiki,lvwiki/20150901,/lvwiki/20150901/lvwiki-20150901-pages-articles.xml.bz2, 76.9 MB
Maithili,mai,maiwiki,maiwiki/20150901,/maiwiki/20150901/maiwiki-20150901-pages-articles.xml.bz2, 2.1 MB
Banyumasan,map-bms,map_bmswiki,map_bmswiki/20150901,/map_bmswiki/20150901/map_bmswiki-20150901-pages-articles.xml.bz2, 3.6 MB
Moksha,mdf,mdfwiki,mdfwiki/20150901,/mdfwiki/20150901/mdfwiki-20150901-pages-articles.xml.bz2, 685 KB
Malagasy,mg,mgwiki,mgwiki/20150901,/mgwiki/20150901/mgwiki-20150901-pages-articles.xml.bz2, 18.6 MB
Meadow Mari,mhr,mhrwiki,mhrwiki/20150901,/mhrwiki/20150901/mhrwiki-20150901-pages-articles.xml.bz2, 3.5 MB
Marshallese,mh,mhwiki,mhwiki/20150901,/mhwiki/20150901/mhwiki-20150901-pages-articles.xml.bz2, 17 KB
Minangkabau,min,minwiki,minwiki/20150901,/minwiki/20150901/minwiki-20150901-pages-articles.xml.bz2, 17.0 MB
Maori,mi,miwiki,miwiki/20150901,/miwiki/20150901/miwiki-20150901-pages-articles.xml.bz2, 1.3 MB
Macedonian,mk,mkwiki,mkwiki/20150901,/mkwiki/20150901/mkwiki-20150901-pages-articles.xml.bz2, 95.7 MB
Malayalam,ml,mlwiki,mlwiki/20150901,/mlwiki/20150901/mlwiki-20150901-pages-articles.xml.bz2, 67.4 MB
Mongolian,mn,mnwiki,mnwiki/20150901,/mnwiki/20150901/mnwiki-20150901-pages-articles.xml.bz2, 18.7 MB
Moldavian,mo,mowiki,mowiki/20150901,/mowiki/20150901/mowiki-20150901-pages-articles.xml.bz2, 396 KB
Hill Mari,mrj,mrjwiki,mrjwiki/20150901,/mrjwiki/20150901/mrjwiki-20150901-pages-articles.xml.bz2, 2.5 MB
Marathi,mr,mrwiki,mrwiki/20150901,/mrwiki/20150901/mrwiki-20150901-pages-articles.xml.bz2, 30.7 MB
